,track_id,date,lon vor,lat vor,vor42,region,geometry,period
343231,20202365,2020-04-05 22:00:00,-58.30145299999998,-46.565685,3.830392,ARG,POINT (-58.30145299999998 -46.565685),
343232,20202365,2020-04-05 23:00:00,-58.21270800000002,-45.662586,3.961546,ARG,POINT (-58.21270800000002 -45.662586),
343233,20202365,2020-04-06 00:00:00,-57.781342,-45.402462,4.004093,ARG,POINT (-57.781341999999995 -45.402462),incipient
343234,20202365,2020-04-06 01:00:00,-57.43798800000002,-45.12212,4.069705,ARG,POINT (-57.43798800000002 -45.12212),incipient
343235,20202365,2020-04-06 02:00:00,-57.07205199999999,-44.864029,4.157591,ARG,POINT (-57.072051999999985 -44.864029),incipient
343236,20202365,2020-04-06 03:00:00,-56.623992999999984,-44.640709,4.127579,ARG,POINT (-56.623992999999984 -44.640709),incipient
343237,20202365,2020-04-06 04:00:00,-56.24652099999997,-44.355629,4.153469,ARG,POINT (-56.24652099999997 -44.355629),incipient
343238,20202365,2020-04-06 05:00:00,-55.85684199999997,-43.938896,4.262139,ARG,POINT (-55.85684199999997 -43.938896),incipient
343239,20202365,2020-04-06 06:00:00,-55.568085,-43.388931,4.39333,ARG,POINT (-55.568084999999996 -43.388931),incipient
343240,20202365,2020-04-06 07:00:00,-55.151611,-43.039791,4.525418,ARG,POINT (-55.151611 -43.039791),
343241,20202365,2020-04-06 08:00:00,-54.809845,-42.576561,4.776228,ARG,POINT (-54.809844999999996 -42.576561),
343242,20202365,2020-04-06 09:00:00,-54.35510299999999,-42.382999,5.029587,ARG,POINT (-54.355102999999986 -42.382999),intensification
343243,20202365,2020-04-06 10:00:00,-53.749573,-42.117432,5.208146,ARG,POINT (-53.749573 -42.117432),intensification
343244,20202365,2020-04-06 11:00:00,-53.33294699999999,-41.975765,5.541137,ARG,POINT (-53.33294699999999 -41.975765),intensification
343245,20202365,2020-04-06 12:00:00,-52.874573,-41.995083,5.825536,ARG,POINT (-52.874573 -41.995083),intensification
343246,20202365,2020-04-06 13:00:00,-52.40707400000002,-42.010387,6.150376,ARG,POINT (-52.40707400000002 -42.010387),intensification
343247,20202365,2020-04-06 14:00:00,-51.88284299999998,-42.078304,6.409054,ARG,POINT (-51.88284299999998 -42.078304),intensification
343248,20202365,2020-04-06 15:00:00,-51.364868,-42.085724,6.679748,ARG,POINT (-51.364868 -42.085724),intensification
