,Type of System,Total Count,Percentage
3,"incipient, intensification, mature, decay",5412,68.2385575589459
6,"intensification, mature, decay",522,6.58176774681629
4,"incipient, intensification, mature, decay, intensification 2, mature 2, decay 2",440,5.547850208044383
7,"intensification, mature, decay, intensification 2, mature 2, decay 2",307,3.87088639515824
2,"incipient, decay, intensification, mature, decay 2",283,3.568276383810364
1,"decay, intensification, mature, decay 2",187,2.3578363384188625
