track_id,date,lon,lat,vor 42,Az,Ae,Kz,Ke,Cz,Ca,Ck,Ce,BAz,BAe,BKz,BKe,BΦZ,BΦE,Gz,Ge,∂Az/∂t (finite diff.),∂Ae/∂t (finite diff.),∂Kz/∂t (finite diff.),∂Ke/∂t (finite diff.),RGz,RKz,RGe,RKe,phase
19900032,1990-01-11 09:00:00,-46.58191,-29.73235,3.49507,241494.4578246294,50242.59487457464,967010.007373798,169654.07869784255,2.841342571578229,0.2770007798182606,-1.62107040344521,2.4854994292072705,-0.7461084041054556,-0.1673436359904799,-12.185298546068363,-1.0634119027589115,17.494641331673083,10.553861683452263,0.3875839745413005,1.1740146015862047,-1.1302644382834142,0.248009854032473,4.819654841028203,1.8407121204825616,2.734187317218532,15.784681218963549,2.623852139411963,-1.202445809411007,incipient
19900032,1990-01-11 12:00:00,-45.72345,-30.34641,3.99223,229287.6018911685,52921.101298125344,1019062.2796569028,189533.76959905424,2.2765635319073225,0.2942772197056831,-1.745507063302776,2.9664039138050766,-0.6851741716905796,-0.0248110554852113,-13.098487103432024,-1.844035607576127,26.09284363259821,20.940710351231235,1.3538357310626448,2.745030346824853,0.1287067106093107,0.3098945186516135,9.117678388854584,2.0886393927474787,3.384721633912896,21.68510902368206,3.0068322682362183,-0.7792359767842472,intensification
19900032,1990-01-11 15:00:00,-44.74411,-31.0038,4.68076,244274.5227737905,56936.31647744949,1163951.860573057,214768.6895811881,1.9440974373165048,0.1870971557588144,-1.600309114287702,3.7866767455724935,-0.1778597583103428,0.2325160489276485,-17.16800852551252,-2.7605174791104976,35.953303500101086,29.562163631180457,1.49912902481391,3.4416301393675126,1.53805079181112,0.2308166885727105,13.349428041275145,1.7737195909042445,3.8471051431967824,30.173648243758866,3.597880229458741,-0.8527487898454535,intensification
19900032,1990-01-11 18:00:00,-43.81036,-31.73769,5.02318,262509.49899428873,57906.74177129589,1307409.9253484458,227846.11276258592,2.067158779855537,0.0722835504849799,-0.8461236147266938,3.146170506802001,0.3066368681236895,0.4389602956098628,-20.82413453895509,-2.898332211601464,42.17571340971443,34.29312318299029,1.2411474425054638,2.805903478723174,1.914912389777488,-0.0419948222296709,13.882129078033548,0.4523596131323305,3.747717851994315,33.4852284518598,2.5929318384774875,-0.6416022967949009,intensification
19900032,1990-01-11 21:00:00,-42.40216,-32.8223,4.83909,285636.63039298425,56029.2283172886,1463805.8486585815,224539.65722484645,3.496704905453195,-0.0876227951961561,-0.3363604487839479,3.0116645736350534,0.9816162446361592,0.4927602756631302,-21.43475109938518,-2.054492130789517,45.50834693484501,36.118899312275886,0.38710266099714,2.7582805377468094,0.7951137595231422,-0.0143190886941516,11.65044816411094,-0.5379368532376692,3.2225796251440224,29.924854806826872,2.592208004473928,-1.831469744867153,intensification
19900032,1990-01-12 00:00:00,-41.55872,-33.62342,4.73141,279683.9561999886,57597.44945550222,1559059.605693242,216226.67673265227,3.77956011464576,-0.0431258737025747,-0.9824337735684744,3.140176568982469,0.7165011005760394,0.5946220318697718,-18.67970606692264,-1.812819586033133,55.577765679587486,44.97633893737154,1.1887122558938543,2.9353868684743825,1.4990337939394278,0.1020493720447952,14.921250298406026,-0.259888358392542,4.518966934306573,30.803830024251383,2.6907297828600667,-2.5696791149103517,intensification
19900032,1990-01-12 03:00:00,-40.1871,-34.56776,4.90806,318015.7603420759,58233.49475345617,1786104.855104152,218926.06868356757,3.290630715703262,-0.0072112310669849,-1.290194627790783,3.6752222651937454,0.3634413086396876,0.8046502612125347,-20.56518189308653,-1.9060257650323664,70.28985603712289,58.97838675926419,2.1873194063963592,3.0826190189106857,3.595372028058464,0.2096745314574585,19.572216612560183,0.3656188544707145,6.515350204055053,38.13696241773424,3.087457766505655,-2.693772273481448,intensification
19900032,1990-01-12 06:00:00,-38.89386,-35.44666,5.0943,357343.9920060514,62126.41933498332,1981819.484524542,224124.0439892197,5.016421604204577,-0.0561473235432333,-1.03485120293408,3.997677481030512,-0.1081932028486643,0.9727297896379236,-24.79983318098782,-2.9806621352171745,76.91000665009854,64.05450599558164,3.810901141694005,3.274028903426672,2.400738455212249,0.0514338245779712,14.247270777974087,0.3711636682522213,7.469205938722257,35.06553355769141,3.132528839513793,-1.6807028804951964,intensification
19900032,1990-01-12 09:00:00,-37.44229,-36.17535,5.46913,369871.71097466047,59344.46536434035,2093845.903908392,226943.20391781552,7.184192120015712,-0.0510089237744504,-1.0975630620364372,3.2589753698918997,-0.5920283283274034,0.7005142586370097,-24.34745753621901,-2.393913251793045,81.58575477277856,67.28244001060148,6.2252145083209,2.860066779136987,-0.37968643139321,-0.0354584754868132,10.683145228592588,-0.4793893910305067,7.345525093175455,28.943973706832324,2.5740115595425266,-2.442014571165798,intensification
19900032,1990-01-12 12:00:00,-36.08078,-36.34346,5.45842,349142.7650879581,61360.51626446816,2212575.421462142,213769.2331429608,5.357494002508304,-0.2235966110283962,-0.8357014265418985,2.396574055123033,-1.157115268010036,0.495970951209255,-24.39126547124801,-2.5149799479098505,90.07916212978525,70.5726234050478,6.125532660937269,2.4790158422944657,0.852355780508027,0.0427902317359436,16.10060343693695,-0.2151245533695152,7.143368439997971,35.970076332218554,2.166989946678118,-0.9324200871245968,intensification
